,price,reviews,rating,accommodates,extpeop,savwish,min_stay,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds
1,70,45,4.5,2,0,934,3,3.704471107,1,0,0,0,1,1,1
2,100,13,5,3,0,171,5,3.355278291,1,0,1,1,1,1,1
3,90,0,NA,4,1,0,1,2.962160648,0,0,0,0,0,1,1
4,125,20,4,4,0,460,7,2.139501061,0,1,0,0,1,1,2
5,99,10,5,6,0,589,1,3.628547624,1,1,1,1,2,2,3
6,129,22,5,4,1,560,7,3.334242105,1,1,1,1,1,1,1
7,99,72,4.5,4,0,1464,1,0.772570677,1,1,0,0,1,1,1
8,1300,0,NA,4,0,0,5,NA,1,1,0,0,2,2,2
9,125,4,5,3,0,51,3,1.776145248,1,0,1,1,1,1,2
10,125,38,4.5,2,0,631,1,3.008873215,0,1,0,0,1,1,1
11,119,32,5,2,0,602,1,4.101516312,1,1,1,1,1,1,1
12,149,0,NA,2,0,0,1,1.790366871,0,0,1,1,1,1,1
13,100,23,4.5,4,1,822,5,3.944540283,0,1,0,0,1,1,1
14,100,24,4.5,3,1,974,1,4.186575397,1,1,1,1,0,1,2
15,180,24,5,5,0,329,8,2.899894045,1,1,0,0,2,1,5
16,99,102,4.5,4,0,1809,1,1.143645877,1,1,0,0,1,1,1
17,199,7,5,6,1,177,5,2.096089492,1,1,0,0,2,2,5
18,55,0,NA,2,0,4,1,1.65923157,0,0,1,1,1,1,1
19,165,20,5,3,1,156,5,4.076957534,1,1,0,0,1,1,1
20,130,0,NA,3,0,3,8,NA,1,1,0,0,1,1,1
21,350,0,NA,4,0,1,1,2.636873802,0,0,0,0,1,1,1
22,100,0,NA,2,0,5,1,1.114172029,0,0,0,0,1,1,1
23,250,0,NA,7,1,15,7,3.34741382,1,1,0,1,3,2,3
24,350,0,NA,2,0,2,1,NA,0,0,0,0,2,2,2
25,139,0,NA,2,1,13,1,0,1,1,1,1,1,1,1
26,79,0,NA,2,0,3,3,NA,1,1,1,0,0,1,1
