,price,reviews,rating,accommodates,extpeop,savwish,min_stay,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds,uprice
1,185,10,4.5,3,1,1277,5,3.975299935,1,1,1,1,1,1,1,185
2,100,8,5,2,0,279,3,2.963489957,0,0,0,0,1,1,1,100
3,512,31,5,10,1,434,3,3.418955775,1,0,1,1,4,3,5,128
4,92,65,4.5,2,0,784,2,3.902198617,0,0,1,1,1,1,1,92
5,71,9,4.5,4,1,621,1,2.234021443,1,1,0,0,2,1,1,35.5
6,85,67,4.5,2,1,556,1,2.357849384,0,0,1,1,1,1,1,85
7,83,152,5,2,0,1325,1,4.035472547,0,0,1,0,1,2,1,83
8,98,6,5,4,1,448,3,2.273819306,1,0,1,1,0,1,3,NA
9,121,1,5,4,1,162,1,2.86455901,0,0,0,0,1,1,2,121
10,78,11,4.5,2,0,334,1,2.050345226,0,0,1,1,1,1,1,78
11,100,86,4.5,2,0,3429,2,4.153550252,1,1,0,1,1,0,1,100
12,249,58,4.5,5,0,1869,2,1.920023494,1,1,1,1,2,1,3,124.5
13,128,2,5,4,0,45,3,3.05122461,0,0,1,1,0,1,2,0
14,98,6,4.5,3,0,286,1,2.819720366,1,1,1,1,1,1,2,98
15,183,82,5,4,1,1839,2,5.504238701,1,1,1,1,1,1,1,183
16,235,81,5,4,0,1371,1,3.125908047,1,0,0,0,2,1,2,117.5
17,57,5,4.5,3,0,381,1,1.258920324,0,0,0,1,1,1,2,57
18,83,133,4.5,2,0,1841,1,1.42126704,0,0,0,0,1,1,1,83
19,128,16,4.5,2,0,198,1,2.26717384,1,1,1,0,1,1,1,128
20,102,55,4.5,2,0,667,2,1.759667176,1,0,1,1,1,0,1,102
21,78,0,NA,2,0,17,6,2.344207617,1,1,1,1,0,1,1,0
22,199,1,5,4,1,27,3,2.577121028,1,1,1,1,1,1,2,199
23,171,7,4.5,3,1,336,5,3.530725351,1,1,1,1,1,1,2,171
24,256,19,4.5,5,1,968,4,2.64375,1,1,1,1,2,0,1,128
25,228,14,5,4,1,178,1,3.558549528,1,0,0,0,1,0,1,228
26,78,5,4,2,0,97,4,1.958837417,0,0,1,1,1,1,1,78
27,114,32,4.5,2,0,613,1,2.854239327,1,1,1,0,1,1,1,114
28,92,0,NA,3,1,91,2,NA,1,1,1,1,0,1,1,0
29,85,5,5,2,0,145,1,2.230081748,0,0,1,1,1,1,1,85
30,100,2,5,2,0,465,2,3.162827182,1,1,0,0,0,1,1,NA
31,107,28,5,2,0,1377,1,2.034437314,1,0,1,1,1,1,1,107
32,57,85,5,2,0,2790,2,2.846186937,0,0,1,1,1,1,1,57
33,40,1,5,1,0,64,1,1.466993172,0,1,1,1,1,1,2,40
34,135,29,4.5,4,1,241,1,2.452631579,1,1,1,1,1,1,1,135
35,128,79,4.5,4,1,1396,2,4.401751717,1,1,0,0,2,1,3,64
36,156,58,4.5,2,0,472,3,2.156834871,1,0,0,0,1,1,1,156
37,125,119,4.5,4,1,1225,4,2.337693192,1,0,1,0,1,1,2,125
38,118,8,5,3,0,272,3,3.149639667,1,1,0,1,1,1,1,118
39,178,71,5,2,0,544,4,3.518100959,0,1,0,0,1,1,1,178
40,112,4,5,2,0,129,2,2.501581733,1,1,1,1,1,1,1,112
41,128,218,4.5,2,0,1893,2,2.734169703,1,0,0,1,1,1,1,128
42,121,121,5,2,0,1227,3,3.645344641,1,1,0,1,1,1,1,121
43,127,9,5,2,0,186,5,3.190653296,1,0,1,1,1,1,1,127
44,121,64,4.5,4,0,564,3,1.476702925,1,0,1,1,1,1,2,121
45,142,39,5,4,0,266,4,3.702022171,0,0,0,0,1,1,2,142
46,112,13,5,4,1,244,4,4.041916399,1,1,1,1,1,1,2,112
47,98,73,5,2,0,697,2,3.226133324,0,0,1,1,1,1,1,98
48,192,46,5,2,0,732,2,3.371944362,0,0,1,1,1,1,1,192
49,169,23,5,4,1,304,2,3.924935321,1,1,1,1,1,0,1,169
50,92,0,NA,4,0,3,5,NA,1,0,0,0,1,1,2,92
51,92,0,NA,2,0,6,4,NA,0,1,0,0,1,1,1,92
52,228,0,NA,2,0,15,2,NA,0,0,0,0,1,0,1,228
53,284,54,5,2,0,1583,3,2.808037045,1,0,1,0,1,1,1,284
54,853,10,5,11,1,328,3,3.595099614,1,0,0,0,4,4,6,213.25
55,92,5,5,4,1,178,1,2.234021443,1,1,0,0,1,1,2,92
56,100,1,4,2,0,82,3,2.061823507,0,0,0,0,1,1,1,100
57,199,1,4.5,6,1,18,5,2.244581729,0,0,0,0,2,1,3,99.5
58,199,12,5,4,1,117,3,3.174355183,0,0,0,0,1,1,2,199
59,142,0,NA,4,1,8,3,2.011111111,0,0,1,1,1,1,2,142
60,142,68,4.5,4,1,492,3,4.317508067,1,0,1,1,1,1,2,142
61,128,9,5,4,1,158,3,3.748938432,1,0,1,1,1,1,2,128
62,427,50,5,10,0,451,2,4.277129076,1,0,1,1,4,3,5,106.75
63,142,57,4.5,4,0,540,1,2.822277697,0,0,0,1,0,1,1,NA
64,83,127,5,2,0,860,1,4.008879647,0,0,1,0,1,2,1,83
65,356,10,5,8,0,99,5,3.05122461,1,1,0,0,4,2,8,89
66,198,1,NA,4,0,55,3,2.15853649,1,1,1,1,2,1,2,99
67,141,21,5,4,0,212,2,3.572268167,1,1,1,1,1,1,1,141
68,212,47,4.5,4,0,591,1,3.293993435,1,1,1,1,1,1,1,212
69,212,1,5,4,0,13,2,2.348148148,1,1,1,0,1,1,2,212
70,84,2,5,2,0,21,1,1.91213908,0,1,0,0,1,1,1,84
71,84,60,5,2,0,879,1,3.394462537,1,1,1,1,1,1,1,84
72,112,37,4.5,2,0,732,1,2.573395578,1,1,1,1,1,1,1,112
73,356,0,NA,8,0,39,7,1.874986251,1,0,1,1,3,1,4,118.6666667
74,128,27,4.5,3,1,508,1,3.415337154,0,0,0,0,2,1,1,64
75,85,67,4.5,2,1,305,1,1.734270435,0,0,1,1,1,1,1,85
76,114,0,NA,2,0,3,1,1.266424801,0,0,1,1,0,1,1,0
