S.no,price,reviews,rating,accommodates,extpeop,savwish,min_stay,Conversion%,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds,uprice,Esimated Revenue,average revenue per booking,City
1,70,45,4.5,2,0,934,3,4.817987152,3.704471107,1,0,0,0,1,1,1,70,9450,210,Miami
2,100,13,5,3,0,171,5,7.602339181,3.355278291,1,0,1,1,1,1,1,100,6500,500,Miami
3,90,0,NA,4,1,0,1,#DIV/0!,2.962160648,0,0,0,0,0,1,1,90,0,0,Miami
4,125,20,4,4,0,460,7,4.347826087,2.139501061,0,1,0,0,1,1,2,125,17500,875,Miami
5,99,10,5,6,0,589,1,1.697792869,3.628547624,1,1,1,1,2,2,3,49.5,990,99,Miami
6,129,22,5,4,1,560,7,3.928571429,3.334242105,1,1,1,1,1,1,1,129,19866,903,Miami
7,99,72,4.5,4,0,1464,1,4.918032787,0.772570677,1,1,0,0,1,1,1,99,7128,99,Miami
8,1300,0,NA,4,0,0,5,0,NA,1,1,0,0,2,2,2,650,0,0,Miami
9,125,4,5,3,0,51,3,7.843137255,1.776145248,1,0,1,1,1,1,2,125,1500,375,Miami
10,125,38,4.5,2,0,631,1,6.022187005,3.008873215,0,1,0,0,1,1,1,125,4750,125,Miami
11,119,32,5,2,0,602,1,5.315614618,4.101516312,1,1,1,1,1,1,1,119,3808,119,Miami
12,149,0,NA,2,0,0,1,0,1.790366871,0,0,1,1,1,1,1,149,0,0,Miami
13,100,23,4.5,4,1,822,5,2.798053528,3.944540283,0,1,0,0,1,1,1,100,11500,500,Miami
14,100,24,4.5,3,1,974,1,2.464065708,4.186575397,1,1,1,1,0,1,2,100,2400,100,Miami
15,180,24,5,5,0,329,8,7.294832827,2.899894045,1,1,0,0,2,1,5,90,34560,1440,Miami
16,99,102,4.5,4,0,1809,1,5.638474295,1.143645877,1,1,0,0,1,1,1,99,10098,99,Miami
17,199,7,5,6,1,177,5,3.95480226,2.096089492,1,1,0,0,2,2,5,99.5,6965,995,Miami
18,55,0,NA,2,0,4,1,0,1.65923157,0,0,1,1,1,1,1,55,0,0,Miami
19,165,20,5,3,1,156,5,12.82051282,4.076957534,1,1,0,0,1,1,1,165,16500,825,Miami
20,130,0,NA,3,0,3,8,0,NA,1,1,0,0,1,1,1,130,0,0,Miami
21,350,0,NA,4,0,1,1,0,2.636873802,0,0,0,0,1,1,1,350,0,0,Miami
22,100,0,NA,2,0,5,1,0,1.114172029,0,0,0,0,1,1,1,100,0,0,Miami
23,250,0,NA,7,1,15,7,0,3.34741382,1,1,0,1,3,2,3,83.33333333,0,0,Miami
24,350,0,NA,2,0,2,1,0,NA,0,0,0,0,2,2,2,175,0,0,Miami
25,139,0,NA,2,1,13,1,0,0,1,1,1,1,1,1,1,139,0,0,Miami
26,79,0,NA,2,0,3,3,0,NA,1,1,1,0,0,1,1,79,0,0,Miami
27,185,0,NA,4,0,3,9,0,3.887200448,1,1,0,0,0,1,2,185,0,0,Miami
28,160,0,NA,3,0,6,8,0,1.2087617,1,0,0,0,1,2,1,160,0,0,Miami
29,199,0,NA,9,0,1,1,0,1.449955193,1,1,0,0,1,1,9,199,0,0,Miami
30,275,3,4.5,4,1,14,3,21.42857143,1.883485047,1,1,1,1,1,2,1,275,2475,825,Miami
31,120,0,NA,1,0,0,1,0,NA,0,0,1,1,1,1,1,120,0,0,Miami
32,160,0,NA,2,0,0,1,0,0.583840359,0,0,1,0,1,1,3,160,0,0,Miami
33,200,0,NA,2,0,13,1,0,1.234683945,0,0,0,1,1,1,1,200,0,0,Miami
34,156,0,NA,6,1,18,1,0,0.893990779,1,1,0,0,2,1,3,78,0,0,Miami
35,75,1,5,2,1,6,1,16.66666667,0.980060958,0,0,0,0,1,1,1,75,75,75,Miami
36,190,0,NA,4,0,3,5,0,NA,1,1,0,0,1,1,1,190,0,0,Miami
37,75,0,NA,2,0,114,1,0,NA,1,1,1,1,1,1,1,75,0,0,Miami
38,129,36,5,4,1,694,7,5.187319885,3.173913043,1,1,0,0,1,1,2,129,32508,903,Miami
39,85,2,4.5,3,1,55,2,3.636363636,1.980704467,1,1,1,1,1,1,1,85,340,170,Miami
40,70,55,4.5,2,0,564,9,9.75177305,2.122900457,1,1,1,1,1,1,1,70,34650,630,Miami
41,95,110,5,2,0,571,5,19.26444834,4.131676272,1,0,0,0,1,1,1,95,52250,475,Miami
42,110,6,5,6,0,29,9,20.68965517,3.668050455,1,1,1,0,1,1,3,110,5940,990,Miami
43,90,7,5,4,0,55,9,12.72727273,3.668050455,1,1,1,0,1,1,2,90,5670,810,Miami
44,85,28,4.5,4,0,198,1,14.14141414,4.917146005,0,0,1,1,1,2,5,85,2380,85,Miami
45,85,75,4.5,6,0,583,1,12.864494,4.867415579,0,0,1,1,1,2,3,85,6375,85,Miami
46,110,32,4.5,4,0,153,1,20.91503268,4.138063464,0,0,1,1,1,1,2,110,3520,110,Miami
47,85,18,4.5,2,0,87,1,20.68965517,4.016884555,0,0,1,1,1,2,1,85,1530,85,Miami
